titles,media,neg_vader,neu_vader,pos_vader,cpd_vader,sentiment_label
U.S. Navy Destroys Boats Controlled by Iran-Backed Militias in Red Sea,The Wall Street Journal,0.265,0.735,0.0,-0.5574,Negative
US will ‘get unlucky’ at some point in the Middle East: KT McFarland,YouTube,0.0,1.0,0.0,0.0,Neutral
Marseille's Azzedine Ounahi subject of significant interest from Middle East,Get French Football News,0.0,0.625,0.375,0.5859,Positive
Israeli Minister Ben-Gvir commends soldiers for Nakba actions,Middle East Monitor,0.0,1.0,0.0,0.0,Neutral
Global ‘Count Down 2 Ceasefire’ Campaign Mobilises for Gaza on New Year’s Eve,Middle East Monitor,0.0,1.0,0.0,0.0,Neutral
Ghassan Abu Sittah on white phosphorus burns | Real Talk,YouTube,0.0,1.0,0.0,0.0,Neutral
Israeli jets pound central Gaza as Netanyahu indicates longer war,Reuters,0.302,0.698,0.0,-0.5994,Negative
"As death toll mounts in Gaza, veterans of past negotiations weigh in on possibilities for peace",NBC News,0.182,0.654,0.164,-0.1027,Negative
ULFA Peace Pact: Yet Another Agreement In Northeast India Or 'Historic' Moment Towards Peace?,Outlook India,0.0,0.519,0.481,0.8807,Positive
Responsibility of paramilitary groups to 'leave' – peace fund chief,Evening Standard,0.094,0.63,0.276,0.5106,Positive
Assam MLA appeals to ULFA-I chief Paresh Baruah to join peace talks,India Today NE,0.0,0.637,0.363,0.6908,Positive
Tanaiste to raise issue of global drugs trade during visit to Colombia,The Irish News,0.0,1.0,0.0,0.0,Neutral
Ulfa (I) ready for talks if sovereignty is discussed: Paresh Baruah | Guwahati News,Lanka Times,0.0,0.839,0.161,0.3612,Positive
Can Ulfa pact fulfill promises made to Assam 38 years ago?,MSN,0.0,0.621,0.379,0.6705,Positive
Ready for peace talks if Centre discusses sovereignty: Paresh,The Times of India,0.0,0.538,0.462,0.7184,Positive
ULFA-Centre Peace Accord Rings Investment Bells In Singapore,MSN,0.0,0.667,0.333,0.5423,Positive
"Azerbaijan sees no “serious obstacles” for peace treaty with Armenia, says Hajiyev",Armenpress,0.14,0.637,0.223,0.3182,Positive
Vigils take place across country in support of Gaza,RTE,0.0,0.748,0.252,0.4019,Positive
"GAZA LIVE BLOG - Israel Bombs Two Mosques in Central Gaza | Massacres in Nuseirat, Maghazi | Battles Continue in ...",Palestine Chronicle,0.115,0.885,0.0,-0.3818,Negative
John Pilger: Veteran journalist and Palestine supporter dies,Middle East Eye,0.0,0.769,0.231,0.2732,Positive
Injured Palestinian boy in Gaza no longer recognises his own face | Al Jazeera NewsFeed,YouTube,0.274,0.726,0.0,-0.5994,Negative
Walkout over weapons: British school students battle Gaza protest curbs,Al Jazeera,0.62,0.38,0.0,-0.8316,Negative
'This is a struggle of land occupation': Over 300 unite at interfaith vigil in solidarity with Palestine,IOL,0.118,0.769,0.113,-0.0258,Neutral
Israeli strike kills former Palestinian minister: agency,Arab News,0.5,0.5,0.0,-0.6124,Negative
NYPD braces for pro-Palestinian rally on New Year's Eve,Ynetnews,0.0,1.0,0.0,0.0,Neutral
Pro-Palestine campaigners call for Gaza ceasefire on New Year’s Eve,Al Jazeera,0.0,1.0,0.0,0.0,Neutral
Netanyahu says Israel must control Egypt-Gaza border zone,Middle East Eye,0.0,1.0,0.0,0.0,Neutral
Israel-Hamas war: Gaza conflict looms large for `many months` in 2024,WION,0.494,0.506,0.0,-0.7783,Negative
IRGC official attributes ongoing Gaza conflict to U.S.,Tehran Times,0.247,0.753,0.0,-0.3182,Negative
Kaval brings down reoffending rate among children in conflict with law to 3.8%,The Hindu,0.161,0.839,0.0,-0.3182,Negative
Canada’s heated political conflict over carbon pricing to continue into 2024,Global News,0.187,0.813,0.0,-0.3182,Negative
US Muslims expand campaign launched against Biden over Gaza conflict,Middle East Monitor,0.176,0.534,0.29,0.128,Positive
Israel continues Gaza offensive as conflict enters 86th day,La Prensa Latina,0.431,0.569,0.0,-0.6486,Negative
Unseen Footage: Israeli Soldiers Find Respite Amidst Gaza Conflict: A Glimpse into Moments of Rest |,YouTube,0.133,0.867,0.0,-0.3182,Negative
Poll shows many protesters severely uninformed about conflict,Ventura County Star,0.59,0.41,0.0,-0.7351,Negative
Year-Ender 2023: Top 10 wars & regional conflicts that dominated the world this year,The Times of India,0.326,0.579,0.095,-0.6597,Negative
TOP 10 Wars & Conflicts that Dominated 2023 | Year-Ender 2023 | Countdown to 2024 | New Year 2024,YouTube,0.251,0.647,0.102,-0.5672,Negative
Young Gazans hope for peace in new year as war with Israel goes on,BBC,0.183,0.516,0.3,0.3612,Positive
Peace in the Middle East will be ‘restored’ if we hurt the Iranian regime: Rep. Michael Waltz,Fox News,0.155,0.685,0.16,0.0258,Neutral
Global calls for demanding ‘Ceasefire’ as New Year’s countdown hits Zero,Middle East Monitor,0.16,0.84,0.0,-0.2263,Negative
U.S. Navy Destroys Boats Controlled by Iran-Backed Militias in Red Sea,The Wall Street Journal,0.265,0.735,0.0,-0.5574,Negative
US will ‘get unlucky’ at some point in the Middle East: KT McFarland,YouTube,0.0,1.0,0.0,0.0,Neutral
Marseille's Azzedine Ounahi subject of significant interest from Middle East,Get French Football News,0.0,0.625,0.375,0.5859,Positive
Israeli Minister Ben-Gvir commends soldiers for Nakba actions,Middle East Monitor,0.0,1.0,0.0,0.0,Neutral
Global ‘Count Down 2 Ceasefire’ Campaign Mobilises for Gaza on New Year’s Eve,Middle East Monitor,0.0,1.0,0.0,0.0,Neutral
Ghassan Abu Sittah on white phosphorus burns | Real Talk,YouTube,0.0,1.0,0.0,0.0,Neutral
Israeli jets pound central Gaza as Netanyahu indicates longer war,Reuters,0.302,0.698,0.0,-0.5994,Negative
"As death toll mounts in Gaza, veterans of past negotiations weigh in on possibilities for peace",NBC News,0.182,0.654,0.164,-0.1027,Negative
ULFA Peace Pact: Yet Another Agreement In Northeast India Or 'Historic' Moment Towards Peace?,Outlook India,0.0,0.519,0.481,0.8807,Positive
Responsibility of paramilitary groups to 'leave' – peace fund chief,Evening Standard,0.094,0.63,0.276,0.5106,Positive
Assam MLA appeals to ULFA-I chief Paresh Baruah to join peace talks,India Today NE,0.0,0.637,0.363,0.6908,Positive
Tanaiste to raise issue of global drugs trade during visit to Colombia,The Irish News,0.0,1.0,0.0,0.0,Neutral
Ulfa (I) ready for talks if sovereignty is discussed: Paresh Baruah | Guwahati News,Lanka Times,0.0,0.839,0.161,0.3612,Positive
Can Ulfa pact fulfill promises made to Assam 38 years ago?,MSN,0.0,0.621,0.379,0.6705,Positive
Ready for peace talks if Centre discusses sovereignty: Paresh,The Times of India,0.0,0.538,0.462,0.7184,Positive
ULFA-Centre Peace Accord Rings Investment Bells In Singapore,MSN,0.0,0.667,0.333,0.5423,Positive
"Azerbaijan sees no “serious obstacles” for peace treaty with Armenia, says Hajiyev",Armenpress,0.14,0.637,0.223,0.3182,Positive
UNSC adopts resolution on humanitarian situation in Afghanistan,The Indian Awaaz,0.0,0.805,0.195,0.1779,Positive
UNICEF Haiti Humanitarian Situation Report No. 9: November 2023 - Haiti,ReliefWeb,0.0,1.0,0.0,0.0,Neutral
Humanitarian crisis worsens in Gaza as Israel-Hamas war rages: live updates,CNN,0.67,0.33,0.0,-0.9349,Negative
India's Humanitarian leadership shines in 2023: A year of global aid and compassion,The Times of India,0.0,0.8,0.2,0.4588,Positive
Seeking an end to the conflict & humanitarian crisis,The Financial Express,0.478,0.522,0.0,-0.7506,Negative
LIVE UPDATES: Humanitarian crisis worsens in Gaza as Israeli war intensifies - War on Gaza - War on Gaza,Ahram Online,0.574,0.426,0.0,-0.9633,Negative
KSrelief's Global Humanitarian Aid Expansion; Saudi's Artistic Celebrations,BNN Breaking,0.0,1.0,0.0,0.0,Neutral
Unicef Seeks $135.6m To Address Pakistan’s Humanitarian Crisis | Dawn News English,YouTube,0.272,0.728,0.0,-0.6249,Negative
Israel accuses UNRWA of covering up Hamas theft of Gazan humanitarian aid,All Israel News,0.179,0.821,0.0,-0.34,Negative
Year In Review 2023: The pipeline of vital humanitarian aid from Milwaukee to Ukraine,Milwaukee Independent,0.0,0.855,0.145,0.296,Positive
Vigils take place across country in support of Gaza,RTE,0.0,0.748,0.252,0.4019,Positive
"GAZA LIVE BLOG - Israel Bombs Two Mosques in Central Gaza | Massacres in Nuseirat, Maghazi | Battles Continue in ...",Palestine Chronicle,0.115,0.885,0.0,-0.3818,Negative
John Pilger: Veteran journalist and Palestine supporter dies,Middle East Eye,0.0,0.769,0.231,0.2732,Positive
Injured Palestinian boy in Gaza no longer recognises his own face | Al Jazeera NewsFeed,YouTube,0.274,0.726,0.0,-0.5994,Negative
Walkout over weapons: British school students battle Gaza protest curbs,Al Jazeera,0.62,0.38,0.0,-0.8316,Negative
'This is a struggle of land occupation': Over 300 unite at interfaith vigil in solidarity with Palestine,IOL,0.118,0.769,0.113,-0.0258,Neutral
Israeli strike kills former Palestinian minister: agency,Arab News,0.5,0.5,0.0,-0.6124,Negative
NYPD braces for pro-Palestinian rally on New Year's Eve,Ynetnews,0.0,1.0,0.0,0.0,Neutral
Pro-Palestine campaigners call for Gaza ceasefire on New Year’s Eve,Al Jazeera,0.0,1.0,0.0,0.0,Neutral
Netanyahu says Israel must control Egypt-Gaza border zone,Middle East Eye,0.0,1.0,0.0,0.0,Neutral
Vigils take place across country in support of Gaza,RTE,0.0,0.748,0.252,0.4019,Positive
"GAZA LIVE BLOG - Israel Bombs Two Mosques in Central Gaza | Massacres in Nuseirat, Maghazi | Battles Continue in ...",Palestine Chronicle,0.115,0.885,0.0,-0.3818,Negative
John Pilger: Veteran journalist and Palestine supporter dies,Middle East Eye,0.0,0.769,0.231,0.2732,Positive
Injured Palestinian boy in Gaza no longer recognises his own face | Al Jazeera NewsFeed,YouTube,0.274,0.726,0.0,-0.5994,Negative
Walkout over weapons: British school students battle Gaza protest curbs,Al Jazeera,0.62,0.38,0.0,-0.8316,Negative
'This is a struggle of land occupation': Over 300 unite at interfaith vigil in solidarity with Palestine,IOL,0.118,0.769,0.113,-0.0258,Neutral
Israeli strike kills former Palestinian minister: agency,Arab News,0.5,0.5,0.0,-0.6124,Negative
NYPD braces for pro-Palestinian rally on New Year's Eve,Ynetnews,0.0,1.0,0.0,0.0,Neutral
Pro-Palestine campaigners call for Gaza ceasefire on New Year’s Eve,Al Jazeera,0.0,1.0,0.0,0.0,Neutral
Netanyahu says Israel must control Egypt-Gaza border zone,Middle East Eye,0.0,1.0,0.0,0.0,Neutral
Israel-Hamas war: Gaza conflict looms large for `many months` in 2024,WION,0.494,0.506,0.0,-0.7783,Negative
IRGC official attributes ongoing Gaza conflict to U.S.,Tehran Times,0.247,0.753,0.0,-0.3182,Negative
Kaval brings down reoffending rate among children in conflict with law to 3.8%,The Hindu,0.161,0.839,0.0,-0.3182,Negative
Canada’s heated political conflict over carbon pricing to continue into 2024,Global News,0.187,0.813,0.0,-0.3182,Negative
US Muslims expand campaign launched against Biden over Gaza conflict,Middle East Monitor,0.176,0.534,0.29,0.128,Positive
Israel continues Gaza offensive as conflict enters 86th day,La Prensa Latina,0.431,0.569,0.0,-0.6486,Negative
Unseen Footage: Israeli Soldiers Find Respite Amidst Gaza Conflict: A Glimpse into Moments of Rest |,YouTube,0.133,0.867,0.0,-0.3182,Negative
Poll shows many protesters severely uninformed about conflict,Ventura County Star,0.59,0.41,0.0,-0.7351,Negative
Year-Ender 2023: Top 10 wars & regional conflicts that dominated the world this year,The Times of India,0.326,0.579,0.095,-0.6597,Negative
TOP 10 Wars & Conflicts that Dominated 2023 | Year-Ender 2023 | Countdown to 2024 | New Year 2024,YouTube,0.251,0.647,0.102,-0.5672,Negative
Vigils take place across country in support of Gaza,RTE,0.0,0.748,0.252,0.4019,Positive
"GAZA LIVE BLOG - Israel Bombs Two Mosques in Central Gaza | Massacres in Nuseirat, Maghazi | Battles Continue in ...",Palestine Chronicle,0.115,0.885,0.0,-0.3818,Negative
John Pilger: Veteran journalist and Palestine supporter dies,Middle East Eye,0.0,0.769,0.231,0.2732,Positive
Injured Palestinian boy in Gaza no longer recognises his own face | Al Jazeera NewsFeed,YouTube,0.274,0.726,0.0,-0.5994,Negative
Walkout over weapons: British school students battle Gaza protest curbs,Al Jazeera,0.62,0.38,0.0,-0.8316,Negative
'This is a struggle of land occupation': Over 300 unite at interfaith vigil in solidarity with Palestine,IOL,0.118,0.769,0.113,-0.0258,Neutral
Israeli strike kills former Palestinian minister: agency,Arab News,0.5,0.5,0.0,-0.6124,Negative
NYPD braces for pro-Palestinian rally on New Year's Eve,Ynetnews,0.0,1.0,0.0,0.0,Neutral
Pro-Palestine campaigners call for Gaza ceasefire on New Year’s Eve,Al Jazeera,0.0,1.0,0.0,0.0,Neutral
Netanyahu says Israel must control Egypt-Gaza border zone,Middle East Eye,0.0,1.0,0.0,0.0,Neutral
Israel-Hamas war: Gaza conflict looms large for `many months` in 2024,WION,0.494,0.506,0.0,-0.7783,Negative
IRGC official attributes ongoing Gaza conflict to U.S.,Tehran Times,0.247,0.753,0.0,-0.3182,Negative
Kaval brings down reoffending rate among children in conflict with law to 3.8%,The Hindu,0.161,0.839,0.0,-0.3182,Negative
Canada’s heated political conflict over carbon pricing to continue into 2024,Global News,0.187,0.813,0.0,-0.3182,Negative
US Muslims expand campaign launched against Biden over Gaza conflict,Middle East Monitor,0.176,0.534,0.29,0.128,Positive
Israel continues Gaza offensive as conflict enters 86th day,La Prensa Latina,0.431,0.569,0.0,-0.6486,Negative
Unseen Footage: Israeli Soldiers Find Respite Amidst Gaza Conflict: A Glimpse into Moments of Rest |,YouTube,0.133,0.867,0.0,-0.3182,Negative
Poll shows many protesters severely uninformed about conflict,Ventura County Star,0.59,0.41,0.0,-0.7351,Negative
Year-Ender 2023: Top 10 wars & regional conflicts that dominated the world this year,The Times of India,0.326,0.579,0.095,-0.6597,Negative
TOP 10 Wars & Conflicts that Dominated 2023 | Year-Ender 2023 | Countdown to 2024 | New Year 2024,YouTube,0.251,0.647,0.102,-0.5672,Negative
Young Gazans hope for peace in new year as war with Israel goes on,BBC,0.183,0.516,0.3,0.3612,Positive
Peace in the Middle East will be ‘restored’ if we hurt the Iranian regime: Rep. Michael Waltz,Fox News,0.155,0.685,0.16,0.0258,Neutral
Global calls for demanding ‘Ceasefire’ as New Year’s countdown hits Zero,Middle East Monitor,0.16,0.84,0.0,-0.2263,Negative
U.S. Navy Destroys Boats Controlled by Iran-Backed Militias in Red Sea,The Wall Street Journal,0.265,0.735,0.0,-0.5574,Negative
US will ‘get unlucky’ at some point in the Middle East: KT McFarland,YouTube,0.0,1.0,0.0,0.0,Neutral
Marseille's Azzedine Ounahi subject of significant interest from Middle East,Get French Football News,0.0,0.625,0.375,0.5859,Positive
Israeli Minister Ben-Gvir commends soldiers for Nakba actions,Middle East Monitor,0.0,1.0,0.0,0.0,Neutral
Global ‘Count Down 2 Ceasefire’ Campaign Mobilises for Gaza on New Year’s Eve,Middle East Monitor,0.0,1.0,0.0,0.0,Neutral
Ghassan Abu Sittah on white phosphorus burns | Real Talk,YouTube,0.0,1.0,0.0,0.0,Neutral
Israeli jets pound central Gaza as Netanyahu indicates longer war,Reuters,0.302,0.698,0.0,-0.5994,Negative
Vigils take place across country in support of Gaza,RTE,0.0,0.748,0.252,0.4019,Positive
"GAZA LIVE BLOG - Israel Bombs Two Mosques in Central Gaza | Massacres in Nuseirat, Maghazi | Battles Continue in ...",Palestine Chronicle,0.115,0.885,0.0,-0.3818,Negative
John Pilger: Veteran journalist and Palestine supporter dies,Middle East Eye,0.0,0.769,0.231,0.2732,Positive
Injured Palestinian boy in Gaza no longer recognises his own face | Al Jazeera NewsFeed,YouTube,0.274,0.726,0.0,-0.5994,Negative
Walkout over weapons: British school students battle Gaza protest curbs,Al Jazeera,0.62,0.38,0.0,-0.8316,Negative
'This is a struggle of land occupation': Over 300 unite at interfaith vigil in solidarity with Palestine,IOL,0.118,0.769,0.113,-0.0258,Neutral
Israeli strike kills former Palestinian minister: agency,Arab News,0.5,0.5,0.0,-0.6124,Negative
NYPD braces for pro-Palestinian rally on New Year's Eve,Ynetnews,0.0,1.0,0.0,0.0,Neutral
Pro-Palestine campaigners call for Gaza ceasefire on New Year’s Eve,Al Jazeera,0.0,1.0,0.0,0.0,Neutral
Netanyahu says Israel must control Egypt-Gaza border zone,Middle East Eye,0.0,1.0,0.0,0.0,Neutral
Israel-Hamas war: Gaza conflict looms large for `many months` in 2024,WION,0.494,0.506,0.0,-0.7783,Negative
IRGC official attributes ongoing Gaza conflict to U.S.,Tehran Times,0.247,0.753,0.0,-0.3182,Negative
Kaval brings down reoffending rate among children in conflict with law to 3.8%,The Hindu,0.161,0.839,0.0,-0.3182,Negative
Canada’s heated political conflict over carbon pricing to continue into 2024,Global News,0.187,0.813,0.0,-0.3182,Negative
US Muslims expand campaign launched against Biden over Gaza conflict,Middle East Monitor,0.176,0.534,0.29,0.128,Positive
Israel continues Gaza offensive as conflict enters 86th day,La Prensa Latina,0.431,0.569,0.0,-0.6486,Negative
Unseen Footage: Israeli Soldiers Find Respite Amidst Gaza Conflict: A Glimpse into Moments of Rest |,YouTube,0.133,0.867,0.0,-0.3182,Negative
Poll shows many protesters severely uninformed about conflict,Ventura County Star,0.59,0.41,0.0,-0.7351,Negative
Year-Ender 2023: Top 10 wars & regional conflicts that dominated the world this year,The Times of India,0.326,0.579,0.095,-0.6597,Negative
TOP 10 Wars & Conflicts that Dominated 2023 | Year-Ender 2023 | Countdown to 2024 | New Year 2024,YouTube,0.251,0.647,0.102,-0.5672,Negative
Young Gazans hope for peace in new year as war with Israel goes on,BBC,0.183,0.516,0.3,0.3612,Positive
Peace in the Middle East will be ‘restored’ if we hurt the Iranian regime: Rep. Michael Waltz,Fox News,0.155,0.685,0.16,0.0258,Neutral
